fold_year,model,log_loss,brier,accuracy,n_games
2020,elo,0.5943077765008344,0.2022095672497303,0.7210884353741497,147
2020,logreg_no_elo,1.1627087954121214,0.27637215964836814,0.6530612244897959,147
2020,xgb_no_elo,0.6213272059033784,0.2163185226076125,0.6394557823129252,147
2020,logreg_with_elo,1.0587965323078383,0.27230520555003646,0.6462585034013606,147
2020,xgb_with_elo,0.5952431497982628,0.20263236270011872,0.7210884353741497,147
2021,elo,0.6066943154958684,0.21111268861971197,0.645933014354067,209
2021,logreg_no_elo,0.7020222585516401,0.23001934578114097,0.6363636363636364,209
2021,xgb_no_elo,0.6320790920473341,0.22169421893932512,0.5980861244019139,209
2021,logreg_with_elo,0.6694254488726588,0.22554910058731426,0.6411483253588517,209
2021,xgb_with_elo,0.605204274844837,0.21044612528234172,0.6650717703349283,209
2022,elo,0.6129376568522522,0.21299561361946143,0.6569037656903766,239
2022,logreg_no_elo,0.8971180065427694,0.2512781475188652,0.6276150627615062,239
2022,xgb_no_elo,0.6470500940283033,0.22849137027591734,0.6317991631799164,239
2022,logreg_with_elo,0.8091308749696894,0.24006677510961535,0.6317991631799164,239
2022,xgb_with_elo,0.6096517562587995,0.21139554251881684,0.6694560669456067,239
2023,elo,0.5991234060938158,0.2058875867059258,0.6807692307692308,260
2023,logreg_no_elo,0.680490455743698,0.22302383025647476,0.6538461538461539,260
2023,xgb_no_elo,0.6194992939637003,0.2145254785726681,0.6615384615384615,260
2023,logreg_with_elo,0.6286303628572606,0.2115000780142437,0.6730769230769231,260
2023,xgb_with_elo,0.5984058883326775,0.20512353718353923,0.7076923076923077,260
2024,elo,0.5961451175239925,0.20306665177021105,0.6946564885496184,262
2024,logreg_no_elo,0.6427808431449109,0.21737010780622332,0.648854961832061,262
2024,xgb_no_elo,0.5973990081022609,0.20368472517025896,0.7061068702290076,262
2024,logreg_with_elo,0.6315941589750985,0.2125620140992517,0.6908396946564885,262
2024,xgb_with_elo,0.588709637749188,0.19814311843560642,0.7137404580152672,262
